title,options,correct_option,explanation,topic_id,subtopic_id
"Choose the closest meaning of 'Corpulent'","[""Thin"",""Skinny"",""Underweight"",""Very fat""]","Very fat","Refers to excessive body weight",2,1
"Select the closest meaning of 'Brief'","[""Limited"",""Minor"",""Short duration"",""Tiny""]","Short duration","Indicates something lasting a short time",2,1
"Pick the correct synonym of 'Embezzle'","[""Misuse funds"",""Balance"",""Reward"",""Clear""]","Misuse funds","Illegal use of entrusted money",2,1
"Find the meaning closest to 'Vent'","[""Opening"",""Blockage"",""Ending"",""Past action""]","Opening","An outlet or passage",2,1
"Identify synonym of 'August'","[""Ordinary"",""Absurd"",""Respected"",""Trivial""]","Respected","Means dignified or noble",2,1
"Choose synonym of 'Canny'","[""Stubborn"",""Attractive"",""Smart"",""Strong""]","Smart","Means clever or shrewd",2,1
"Meaning closest to 'Alert'","[""Active"",""Observant"",""Logical"",""Aware""]","Aware","Being watchful",2,1
"Select synonym of 'Warrior'","[""Fighter"",""Sailor"",""Explorer"",""Agent""]","Fighter","Person engaged in combat",2,1
"Closest meaning of 'Distant'","[""Far away"",""Detached"",""Reserved"",""Separate""]","Far away","Physically or emotionally far",2,1
"Meaning of 'Adversity'","[""Failure"",""Weakness"",""Hardship"",""Emergency""]","Hardship","Difficult condition",2,1
"Choose synonym of 'Fake'","[""Original"",""Copy"",""Reliable"",""Faithful""]","Copy","Not genuine",2,1
"Meaning of 'Indict'","[""Blame"",""Warn"",""Accuse formally"",""Suggest""]","Accuse formally","Charge with wrongdoing",2,1
"Closest meaning of 'Stringent'","[""Loose"",""Tight"",""Strict"",""Sharp""]","Strict","Rigid or severe",2,1
"Meaning of 'Lament'","[""Complain"",""Praise"",""Forgive"",""Comfort""]","Complain","Express grief or sorrow",2,1
"Meaning of 'Hesitated'","[""Stopped"",""Paused briefly"",""Slowed"",""Delayed""]","Paused briefly","Momentary delay",2,1
"Choose synonym of 'Rescue'","[""Order"",""Help"",""Guard"",""Save place""]","Help","Save from danger",2,1
"Meaning of 'Attempt'","[""Serve"",""Explore"",""Try"",""Explain""]","Try","Make an effort",2,1
"Meaning of 'Reckless'","[""Careful"",""Rash"",""Bold"",""Fearless""]","Rash","Without thinking of risk",2,1
"Meaning of 'Consequences'","[""Outcomes"",""Ideas"",""Issues"",""Uses""]","Outcomes","Results of actions",2,1
"Meaning of 'Improvement'","[""Growth"",""Betterment"",""Promotion"",""Choice""]","Betterment","Positive development",2,1
"Meaning of 'Inebriated'","[""Sleepy"",""Confused"",""Unsteady"",""Drunk""]","Drunk","Under alcohol influence",2,1
"Meaning of 'Sterile'","[""Barren"",""Dry"",""Childless"",""Empty""]","Barren","Unable to produce",2,1
"Meaning of 'Abject'","[""Challenging"",""Miserable"",""Denying"",""Resisting""]","Miserable","Extremely bad",2,1
"Meaning of 'Timid'","[""Fast"",""Slow"",""Average"",""Shy""]","Shy","Lacking confidence",2,1
"Meaning of 'Extricate'","[""Pull"",""Free"",""Tie"",""Trap""]","Free","Release from difficulty",2,1
"Meaning of 'Neutral'","[""Fair"",""Unbiased"",""Unsure"",""Detached""]","Unbiased","Not taking sides",2,1
"Meaning of 'Shallow'","[""Fake"",""Superficial"",""Foolish"",""Weak""]","Superficial","Lacking depth",2,1
"Meaning of 'Insolvent'","[""Poor"",""Bankrupt"",""Low-income"",""Broken""]","Bankrupt","Unable to pay debts",2,1
"Meaning of 'Feeble'","[""Weak"",""Proud"",""Rude"",""Ill""]","Weak","Lacking strength",2,1
"Meaning of 'Transient'","[""Clear"",""Temporary"",""Weak"",""Fancy""]","Temporary","Short-lived",2,1
"Meaning of 'Bare'","[""Exposed"",""Allow"",""Clean"",""Neat""]","Exposed","Uncovered",2,1
"Meaning of 'Repeal'","[""Approve"",""Continue"",""Pass"",""Cancel""]","Cancel","Revoke law",2,1
"Meaning of 'Ecstatic'","[""Active"",""Confused"",""Overjoyed"",""Ill""]","Overjoyed","Extremely happy",2,1
"Meaning of 'Diligent'","[""Active"",""Smart"",""Creative"",""Hardworking""]","Hardworking","Showing effort",2,1
"Meaning of 'Pious'","[""Pure"",""Showy"",""Clean"",""Devoted""]","Devoted","Religious dedication",2,1
"Meaning of 'Browse'","[""Heal"",""Cheat"",""Examine"",""Hit""]","Examine","Look through",2,1
"Meaning of 'Restraint'","[""Barrier"",""Control"",""Block"",""Limit""]","Limit","Restriction",2,1
"Meaning of 'Venue'","[""Place"",""Plan"",""Time"",""Length""]","Place","Location",2,1
"Meaning of 'Candid'","[""Clear"",""Exact"",""Frank"",""Bright""]","Frank","Honest expression",2,1
"Meaning of 'Meld'","[""Calm"",""Combine"",""Buy"",""Shine""]","Combine","Mix together",2,1
"Meaning of 'Torture'","[""Pain"",""Punishment"",""Harassment"",""Fear""]","Pain","Extreme suffering",2,1
"Meaning of 'Abundant'","[""Ripe"",""Cheap"",""Plentiful"",""Missing""]","Plentiful","Large quantity",2,1
"Meaning of 'Entire'","[""Part"",""Quarter"",""Whole"",""Half""]","Whole","Complete",2,1
