Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
CORPULENT,Lean,Gaunt,Emaciated,Obese,Obese,
BRIEF,Limited,Small,Little,Short,Short,
EMBEZZLE,Misappropriate,Balance,Remunerate,Clear,Misappropriate,
VENT,Opening,Stodge,End,Past tense of go,Opening,
AUGUST,Common,Ridiculous,Dignified,Petty,Dignified,
CANNY,Obstinate,Handsome,Clever,Stout,Clever,
ALERT,Energetic,Observant,Intelligent,Watchful,Watchful,
WARRIOR,Soldier,Sailor,Pirate,Spy,Soldier,
DISTANT,Far,Removed,Reserved,Separate,Far,
ADVERSITY,Failure,Helplessness,Misfortune,Crisis,Misfortune,
FAKE,Original,Imitation,Trustworthy,Loyal,Imitation,
INDICT,Condemn,Reprimand,Accuse,Allege,Accuse,
STRINGENT,Dry,Strained,Rigorous,Shrill,Rigorous,
LAMENT,Complain,Comment,Condone,Console,Complain,
HESITATED,Stopped,Paused,Slowed,Postponed,Paused,
RESCUE,Command,Help,Defence,Safety,Help,
ATTEMPT,Serve,Explore,Try,Explain,Try,
FORAY,Maraud,Contest,Ranger,Intuition,Maraud,
RECKLESS,Courageous,Rash,Bold,Daring,Rash,
CONSEQUENCES,Results,Conclusions,Difficulties,Applications,Results,
IMPROVEMENT,Advancement,Betterment,Promotion,Preference,Betterment,
INEBRIATE,Dreamy,Stupefied,Unsteady,Drunken,Drunken,
STERILE,Barren,Arid,Childless,Dry,Barren,
ABJECT,Challenge,Miserable,Deny,Disobey,Miserable,
MOVING,Taking,Toying,Shifting,Turning,Shifting,
IRONIC,Inflexible,Bitter,Good-natured,Disguisedly sarcastic,Disguisedly sarcastic,
TIMID,Fast,Slow,Medium,Shy,Shy,
EXTRICATE,Pull,Free,Tie,Complicate,Free,
NEUTRAL,Unbiased,Non-aligned,Undecided,Indifferent,Unbiased,
SHALLOW,Artificial,Superficial,Foolish,Worthless,Superficial,
DIVERSION,Amusement,Distortion,Deviation,Bylane,Deviation,
INSOLVENT,Poor,Bankrupt,Penniless,Broke,Bankrupt,
INEXPLICABLE,Confusing,Unaccountable,Chaotic,Unconnected,Unaccountable,
FEEBLE,Weak,Vain,Arrogant,Sick,Weak,
